3dsc_formula,Tc_exp (K),lambda,w_log (eV),lambda4w_low (eV),lambda3,L_avg (AA),density (g / cm^3),V_molar (cm^3 / mol),at_mass_mean (g / mol),at_mass_wtd_mean (g / mol),at_mass_range (g / mol),at_mass_wtd_range (g / mol),at_mass_std (g / mol),at_mass_wtd_std (g / mol),at_rad_mean (AA),at_rad_wtd_mean (AA),at_rad_range (AA),at_rad_wtd_range (AA),at_rad_std (AA),at_rad_wtd_std (AA),IP_mean (eV),IP_wtd_mean (eV),IP_range (eV),IP_wtd_range (eV),IP_std (eV),IP_wtd_std (eV),PE_mean,PE_wtd_mean,PE_range,PE_wtd_range,PE_std,PE_wtd_std,EA_mean (eV),EA_wtd_mean (eV),EA_range (eV),EA_wtd_range (eV),EA_std (eV),EA_wtd_std (eV),ThermalCond_mean (W / m K),ThermalCond_wtd_mean (W / m K),ThermalCond_range (W / m K),ThermalCond_wtd_range (W / m K),ThermalCond_std (W / m K),ThermalCond_wtd_std (W / m K)
Pb1Pd2Y1,3.215,0.5340,0.00645,0.00052,0.15227,4.7907,10.8699,46.8215,134.1753,127.2365,118.2942,39.9818,52.1290,46.7174,1.5833,1.5350,0.5100,0.1825,0.2257,0.2127,7.3237,7.5770,2.1200,0.7600,0.8680,0.8704,1.9167,1.9875,1.1100,0.3838,0.4955,0.4463,0.4080,0.4453,0.2500,0.1118,0.1076,0.1133,41.4000,49.0500,54.8000,22.9500,22.8251,23.7972
In1Sb1,3.32,1.3184,0.00616,0.01863,2.29161,4.2665,7.1536,33.0710,118.2890,118.2890,6.9420,3.4710,3.4710,3.4710,1.4050,1.4050,0.0300,0.0150,0.0150,0.0150,7.2130,7.2130,2.8540,1.4270,1.4270,1.4270,1.9150,1.9150,0.2700,0.1350,0.1350,0.1350,0.6850,0.6850,0.7700,0.3850,0.3850,0.3850,53.0000,53.0000,58.0000,29.0000,29.0000,29.0000
Bi2K1,3.575,0.9125,0.00507,0.00352,0.75980,6.6581,7.2731,62.8427,124.0394,152.3530,169.8821,75.5032,84.9411,80.0832,1.7550,1.6633,0.5500,0.2444,0.2750,0.2593,5.8150,6.3063,2.9480,1.3102,1.4740,1.3897,1.4200,1.6200,1.2000,0.5333,0.6000,0.5657,0.7235,0.7977,0.4450,0.1978,0.2225,0.2098,54.0000,38.6667,92.0000,40.8889,46.0000,43.3692
Al1Hf1Pd2,3.6216666665,1.4239,0.00411,0.01690,2.88694,4.4901,10.8515,38.5486,103.9625,104.5769,151.5045,38.7977,61.8758,53.5966,1.4500,1.4350,0.5400,0.1575,0.2245,0.1962,7.0493,7.3713,2.3510,0.9658,0.9728,1.0103,1.7033,1.8275,0.9000,0.3725,0.3733,0.3883,0.3327,0.3888,0.5570,0.1944,0.2400,0.2294,110.0000,100.5000,212.0000,67.2500,90.6238,80.1888
Hg0.5In0.5,3.81,1.9295,0.00237,0.03287,7.18347,4.8163,10.6795,29.5342,157.7050,157.7050,85.7740,42.8870,42.8870,42.8870,1.3700,1.3700,0.1000,0.0500,0.0500,0.0500,8.1120,8.1120,4.6520,2.3260,2.3260,2.3260,1.8900,1.8900,0.2200,0.1100,0.1100,0.1100,0.1500,0.1500,0.3000,0.1500,0.1500,0.1500,45.1500,45.1500,73.7000,36.8500,36.8500,36.8500
C1W2,3.835,0.6929,0.01904,0.00439,0.33267,3.5661,17.0912,22.2155,97.9254,126.5636,171.8293,76.3686,85.9147,81.0011,1.1750,1.3233,0.8900,0.3956,0.4450,0.4196,9.6200,9.0733,3.2800,1.4578,1.6400,1.5462,2.4550,2.4233,0.1900,0.0844,0.0950,0.0896,1.0390,0.9643,0.4480,0.1991,0.2240,0.2112,157.0000,162.6667,34.0000,15.1111,17.0000,16.0278
C1Ga1Mo2,3.9,0.8335,0.01777,0.00857,0.57905,6.3760,8.7374,31.3174,59.2279,68.4084,83.9393,28.1989,35.0624,34.2765,1.1633,1.2575,0.8100,0.2825,0.3331,0.3314,8.1170,7.8608,5.2610,1.6996,2.2668,2.0126,2.1733,2.1700,0.7400,0.1900,0.3023,0.2618,0.7697,0.7638,0.9630,0.2496,0.3935,0.3409,102.6667,111.7500,111.0000,41.3750,52.0918,47.7775
Ba1Ge3,4,1.1580,0.00988,0.01777,1.55284,6.1683,6.0486,58.7268,104.9785,88.8043,64.6970,24.2614,32.3485,28.0146,1.6750,1.4375,0.9500,0.3563,0.4750,0.4114,6.5560,7.2280,2.6880,1.0080,1.3440,1.1639,1.4500,1.7300,1.1200,0.4200,0.5600,0.4850,0.6750,1.0125,1.3500,0.5063,0.6750,0.5846,39.0000,49.5000,42.0000,15.7500,21.0000,18.1865
Bi2Rb1,4.25,0.4785,0.00603,0.00032,0.10956,6.7198,7.7924,64.6050,147.2241,167.8095,123.5126,54.8945,61.7563,58.2244,1.8400,1.7200,0.7200,0.3200,0.3600,0.3394,5.7330,6.2517,3.1120,1.3831,1.5560,1.4670,1.4200,1.6200,1.2000,0.5333,0.6000,0.5657,0.7070,0.7867,0.4780,0.2124,0.2390,0.2253,33.0000,24.6667,50.0000,22.2222,25.0000,23.5702
Ba1Sn3,4.3,0.4399,0.00874,0.00033,0.08513,6.6233,6.6747,73.9292,128.0185,123.3643,18.6170,6.9814,9.3085,8.0614,1.7700,1.5800,0.7600,0.2850,0.3800,0.3291,6.2780,6.8110,2.1320,0.7995,1.0660,0.9232,1.4250,1.6925,1.0700,0.4013,0.5350,0.4633,0.6000,0.9000,1.2000,0.4500,0.6000,0.5196,42.3000,54.4500,48.6000,18.2250,24.3000,21.0444
