3dsc_formula,Tc_exp (K),L_avg (AA),bulk_mod (GPa),density (g / cm^3),V_molar (cm^3 / mol),w_log (K),lambda,lambda4w_low (K),lambda3,mean_at_mass (g / mol),wtd_mean_at_mass (g / mol),range_at_mass (g / mol),wtd_range_at_mass (g / mol),std_at_mass (g / mol),wtd_std_at_mass (g / mol),mean_at_rad (AA),wtd_mean_at_rad (AA),range_at_rad (AA),wtd_range_at_rad (AA),std_at_rad (AA),wtd_std_at_rad (AA),mean_IP (eV),wtd_mean_IP (eV),range_IP (eV),wtd_range_IP (eV),std_IP (eV),wtd_std_IP (eV),mean_EA (eV),wtd_mean_EA (eV),range_EA (eV),wtd_range_EA (eV),std_EA (eV),wtd_std_EA (eV),mean_PE,wtd_mean_PE,range_PE,wtd_range_PE,std_PE,wtd_std_PE,mean_ThermalCond (W / m K),wtd_mean_ThermalCond (W / m K),range_ThermalCond (W / m K),wtd_range_ThermalCond (W / m K),std_ThermalCond (W / m K),wtd_std_ThermalCond (W / m K)
B1Zr1,3.1,4.910,159.970,5.72000,17.83741,412.6581,0.4383,15.229,0.084,51.0140,51.0140,80.4160,40.2080,40.2080,40.2080,1.2950,1.2950,0.9100,0.4550,0.4550,0.4550,7.4660,7.4660,1.6640,0.8320,0.8320,0.8320,0.3515,0.3515,0.1490,0.0745,0.0745,0.0745,1.6850,1.6850,0.7100,0.3550,0.3550,0.3550,25.0000,25.0000,4.0000,2.0000,2.0000,2.0000
C1In1Ti2,3.1,3.140,129.780,6.14000,36.24805,254.2243,0.2601,1.164,0.018,58.2322,55.6409,102.8064,25.7016,42.6057,36.9658,1.2500,1.3375,0.8700,0.6175,0.3750,0.3335,7.9580,7.6755,5.4740,1.9675,2.3733,2.0698,0.5473,0.4303,1.1840,0.2763,0.5140,0.4566,1.9567,1.8525,1.0100,0.3250,0.4308,0.3839,81.3333,66.5000,118.0000,24.0000,48.1756,43.6542
Pt0.25V0.75,3.1025,4.790,221.930,10.53000,33.03936,195.9923,0.8066,82.961,0.525,123.0128,86.9771,144.1425,10.5649,72.0713,56.9773,1.8100,1.6700,0.5600,0.6250,0.2800,0.2214,7.8730,7.3095,2.2540,2.8095,1.1270,0.8910,1.3265,0.9258,1.6030,0.1383,0.8015,0.6336,1.9550,1.7925,0.6500,0.6525,0.3250,0.2569,51.0000,41.0000,40.0000,5.5000,20.0000,15.8114
Sn1,3.740729412,6.570,36.500,5.56000,21.35072,108.2536,0.254,0.451,0.016,118.7100,118.7100,0.0000,0.0000,0.0000,0.0000,1.3900,1.3900,0.0000,0.0000,0.0000,0.0000,7.3440,7.3440,0.0000,0.0000,0.0000,0.0000,1.2000,1.2000,0.0000,0.0000,0.0000,0.0000,1.9600,1.9600,0.0000,0.0000,0.0000,0.0000,67.0000,67.0000,0.0000,0.0000,0.0000,0.0000
B1Ta1,4.0,5.043,286.470,14.14000,13.56138,393.8795,0.2285,1.074,0.012,95.8769,95.8769,170.1419,85.0709,85.0709,85.0709,1.2700,1.2700,0.8600,0.4300,0.4300,0.4300,8.0940,8.0940,0.4080,0.2040,0.2040,0.2040,0.2995,0.2995,0.0450,0.0225,0.0225,0.0225,1.7700,1.7700,0.5400,0.2700,0.2700,0.2700,42.0000,42.0000,30.0000,15.0000,15.0000,15.0000
Sn1V3,4.4625,4.940,163.570,7.49000,36.25294,54.5096,1.7822,549.919,5.661,84.8258,67.8836,67.7685,8.5286,33.8843,26.7879,1.4600,1.4950,0.1400,0.8000,0.0700,0.0553,7.0450,6.8955,0.5980,3.2235,0.2990,0.2364,0.8625,0.6938,0.6750,0.0938,0.3375,0.2668,1.7950,1.7125,0.3300,0.7325,0.1650,0.1304,49.0000,40.0000,36.0000,6.5000,18.0000,14.2302
B2Nb1,4.5975,3.190,248.0,6.78000,16.89179,352.9657,0.7002,84.844,0.343,51.8562,38.1728,82.1004,23.7648,41.0502,35.3304,1.2400,1.1067,0.8000,0.0133,0.4000,0.3443,7.5285,7.7850,1.5390,3.2790,0.7695,0.6623,0.5850,0.4823,0.6160,0.1130,0.3080,0.2651,1.8200,1.8933,0.4400,0.8267,0.2200,0.1893,40.5000,36.0000,27.0000,0.0000,13.5000,11.6190
Al1Si1Sr1,4.75,4.427,56.830,3.17000,45.01153,148.8631,0.6361,24.372,0.257,47.5625,47.5625,60.6385,20.2128,28.3285,28.3285,1.4233,1.4233,0.8400,0.2800,0.3746,0.3746,6.6110,6.6110,2.4570,0.8190,1.0961,1.0961,0.6087,0.6087,1.3850,0.4617,0.5777,0.5777,1.4867,1.4867,0.9500,0.3167,0.3975,0.3975,140.0000,140.0000,200.0000,66.6667,81.9553,81.9553
Fe1Li1P1,4.965,4.390,83.020,3.97000,23.63067,342.5934,0.1932,0.477,0.007,31.2523,31.2523,48.9070,16.3023,19.9672,19.9672,1.2233,1.2233,0.2500,0.0833,0.1096,0.1096,7.9270,7.9270,5.0950,1.6983,2.0801,2.0801,0.5090,0.5090,0.5830,0.1943,0.2502,0.2502,1.6667,1.6667,1.2100,0.4033,0.5073,0.5073,54.7453,54.7453,84.7640,28.2547,38.6217,38.6217
Ga1Si1Sr1,5.0,4.367,52.890,4.30000,43.12279,27.0181,3.206,2854.361,32.953,61.8097,61.8097,59.5340,19.8447,24.9405,24.9405,1.4267,1.4267,0.8400,0.2800,0.3728,0.3728,6.6153,6.6153,2.4570,0.8190,1.0937,1.0937,0.5617,0.5617,1.3850,0.4617,0.5949,0.5949,1.5533,1.5533,0.9500,0.3167,0.4282,0.4282,71.3333,71.3333,121.0000,40.3333,55.6796,55.6796
Os0.5V0.5,5.15,3.020,189.900,14.59000,16.52786,181.8298,1.0299,204.572,1.092,120.5858,120.5858,139.2885,69.6443,69.6443,69.6443,1.4850,1.4850,0.0900,0.0450,0.0450,0.0450,7.7230,7.7230,1.9540,0.9770,0.9770,0.9770,0.8125,0.8125,0.5750,0.2875,0.2875,0.2875,1.9150,1.9150,0.5700,0.2850,0.2850,0.2850,59.0000,59.0000,56.0000,28.0000,28.0000,28.0000
Ir1Ti3,5.185,5.000,173.470,8.92000,37.64809,58.0914,2.0818,1091.108,9.022,120.0420,83.9545,144.3500,12.1540,72.1750,57.0593,1.5050,1.5525,0.1900,0.8475,0.0950,0.0751,7.9640,7.3960,2.2720,2.8460,1.1360,0.8981,0.8220,0.4505,1.4860,0.3320,0.7430,0.5874,1.8700,1.7050,0.6600,0.6050,0.3300,0.2609,86.0000,54.0000,128.0000,21.0000,64.0000,50.5964
Ir1Mo1,5.325,4.010,305.540,16.17000,17.82127,227.7079,0.4551,9.768,0.094,144.0835,144.0835,96.2670,48.1335,48.1335,48.1335,1.4750,1.4750,0.1300,0.0650,0.0650,0.0650,8.0960,8.0960,2.0080,1.0040,1.0040,1.0040,1.1555,1.1555,0.8190,0.4095,0.4095,0.4095,2.1800,2.1800,0.0400,0.0200,0.0200,0.0200,144.5000,144.5000,11.0000,5.5000,5.5000,5.5000
La1,5.343,6.547,27.540,6.14000,22.62305,26.981,3.2955,3182.316,35.790,138.9055,138.9055,0.0000,0.0000,0.0000,0.0000,2.0700,2.0700,0.0000,0.0000,0.0000,0.0000,5.5770,5.5770,0.0000,0.0000,0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,1.1000,1.1000,0.0000,0.0000,0.0000,0.0000,13.0000,13.0000,0.0000,0.0000,0.0000,0.0000
N1Ti1,5.3875,4.240,285.930,5.39000,11.47941,378.7285,0.6957,88.719,0.337,30.9369,30.9369,33.8603,16.9301,16.9301,16.9301,1.1550,1.1550,0.8900,0.4450,0.4450,0.4450,10.6810,10.6810,7.7060,3.8530,3.8530,3.8530,0.0395,0.0395,0.0790,0.0395,0.0395,0.0395,2.2900,2.2900,1.5000,0.7500,0.7500,0.7500,11.0129,11.0129,21.9742,10.9871,10.9871,10.9871
